,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,1,0.99884,0.99649,0.99272,0.9868,0.98086,0.97375,0.96547,0.95722,0.94847,0.93852,0.93058,0.92101,0.91045,0.89946,0.8919,0.88054,0.87439,0.86528,0.85802,0.84647,0.83773,0.83004,0.82467,0.81526,0.80746,0.79752,0.79076,0.7858,0.77819,0.77039,0.7645,0.75836,0.75097,0.74614,0.74015,0.73229,0.72881,0.72249,0.71564,0.71129,0.70138,0.70123,0.6968,0.69029,0.68722,0.67879,0.6758,0.67307,0.66236,0.66419,0.65907,0.65314,0.65145,0.64382,0.63996,0.63548,0.6331,0.62882,0.62372,0.62225,0.6176,0.61467,0.60985,0.60833,0.60149,0.59795,0.59927,0.59285,0.58907,0.58785,0.58342,0.58137,0.57752,0.5767,0.57194,0.56787,0.56634,0.56303,0.5603,0.55632,0.55804,0.55232,0.55136,0.54889,0.5429,0.54309,0.53994,0.53656,0.53616,0.53225,0.52857,0.53028,0.52586,0.52696,0.52012,0.52041,0.51594,0.51301,0.51475,0.50873
11,1,0.99954,0.99826,0.99575,0.99196,0.98789,0.98326,0.97712,0.97078,0.96398,0.95729,0.95083,0.94281,0.93496,0.92729,0.92034,0.91121,0.90484,0.89482,0.88845,0.88098,0.87268,0.8672,0.85835,0.85228,0.84334,0.8388,0.82972,0.82375,0.81726,0.81219,0.80334,0.80138,0.79348,0.78898,0.78249,0.77458,0.77016,0.76356,0.75941,0.75251,0.74854,0.7446,0.7374,0.73281,0.72955,0.72463,0.71975,0.71242,0.70909,0.7042,0.70015,0.69598,0.69305,0.69049,0.68525,0.67652,0.67634,0.67262,0.67117,0.66564,0.66195,0.65694,0.65433,0.65148,0.64771,0.64204,0.64042,0.63727,0.63268,0.6298,0.62563,0.62297,0.62151,0.61682,0.61573,0.61432,0.60966,0.60611,0.60425,0.60274,0.59962,0.59588,0.5955,0.58903,0.58664,0.58188,0.58575,0.58192,0.57542,0.57669,0.57111,0.56667,0.56729,0.56274,0.56232,0.56028,0.56268,0.55675,0.55641,0.55306
12,1,0.99969,0.99892,0.99753,0.99565,0.99287,0.98998,0.98643,0.98074,0.97579,0.97111,0.96466,0.9592,0.95324,0.94684,0.94014,0.93432,0.92648,0.92138,0.91592,0.90738,0.90194,0.89381,0.88661,0.88248,0.87612,0.87134,0.8649,0.85582,0.85219,0.84745,0.84124,0.83399,0.82803,0.82387,0.81939,0.81316,0.80739,0.80021,0.79628,0.79152,0.78689,0.78357,0.77648,0.77138,0.76744,0.76113,0.75743,0.756,0.74797,0.74471,0.73781,0.73685,0.73217,0.72838,0.72583,0.72111,0.71649,0.71157,0.71099,0.70669,0.70031,0.69787,0.69581,0.69147,0.68828,0.68066,0.67865,0.68075,0.67544,0.67263,0.66461,0.66344,0.66142,0.65941,0.65573,0.65335,0.65019,0.64697,0.64399,0.642,0.63747,0.63285,0.63275,0.6283,0.62782,0.62448,0.62198,0.62141,0.61717,0.61549,0.611,0.60908,0.61009,0.60586,0.60355,0.59952,0.59704,0.59525,0.59411,0.58984
13,1,0.99985,0.99944,0.99873,0.99738,0.99566,0.99291,0.991,0.98686,0.98379,0.97993,0.97519,0.97132,0.96627,0.96195,0.95683,0.95229,0.94606,0.94039,0.93492,0.92968,0.92443,0.91948,0.9135,0.90807,0.90149,0.89529,0.89158,0.88549,0.88209,0.87471,0.86975,0.8636,0.85646,0.85522,0.84932,0.84412,0.83869,0.83496,0.82756,0.8232,0.81857,0.81564,0.81161,0.80675,0.80167,0.79744,0.79515,0.79059,0.78562,0.77986,0.77734,0.77414,0.7667,0.76575,0.76106,0.75921,0.75372,0.74863,0.74558,0.7418,0.73977,0.73648,0.72991,0.72878,0.72494,0.7215,0.71855,0.7136,0.71544,0.70841,0.70376,0.6998,0.69733,0.69886,0.69225,0.6898,0.68894,0.68727,0.68094,0.67535,0.67498,0.67215,0.6691,0.66799,0.66365,0.66064,0.65837,0.65591,0.6564,0.65236,0.65053,0.64885,0.6439,0.64108,0.64229,0.63657,0.63585,0.63017,0.63318,0.62966
14,1,0.99996,0.99972,0.99922,0.99842,0.99726,0.99576,0.99394,0.99169,0.98937,0.98584,0.98286,0.98016,0.97628,0.97207,0.9693,0.9648,0.96045,0.9552,0.95202,0.94656,0.94138,0.93544,0.93181,0.92796,0.92209,0.91712,0.91344,0.90787,0.90416,0.89719,0.89577,0.89115,0.88417,0.88029,0.87705,0.87167,0.86702,0.86242,0.85632,0.85312,0.8498,0.84654,0.83933,0.83557,0.83238,0.82759,0.82397,0.82115,0.81653,0.81059,0.80745,0.80535,0.80203,0.79648,0.79328,0.78991,0.78615,0.7833,0.77615,0.77562,0.7704,0.76696,0.76344,0.76343,0.75939,0.75399,0.75074,0.74945,0.74525,0.74126,0.73835,0.73802,0.73346,0.72922,0.72966,0.72605,0.71955,0.71934,0.71754,0.71359,0.70922,0.70844,0.70464,0.7008,0.69923,0.70098,0.69441,0.6899,0.68948,0.68585,0.6831,0.67788,0.67982,0.67864,0.67238,0.66942,0.67176,0.66675,0.66408,0.66374
15,1,0.99993,0.99987,0.99963,0.9991,0.99857,0.9975,0.99615,0.9946,0.99313,0.99126,0.98871,0.98575,0.98414,0.98054,0.97751,0.97469,0.97112,0.96761,0.963,0.9607,0.95589,0.95298,0.9482,0.94389,0.93919,0.9372,0.93355,0.92859,0.92383,0.9207,0.91704,0.91187,0.90626,0.90196,0.89926,0.89616,0.89046,0.88771,0.88233,0.87746,0.87443,0.87039,0.86542,0.86275,0.85699,0.85501,0.85145,0.8481,0.8458,0.84028,0.83639,0.8339,0.82902,0.82861,0.82372,0.81969,0.81564,0.81146,0.80695,0.8036,0.80034,0.80005,0.79409,0.79425,0.79101,0.78545,0.78303,0.77897,0.77724,0.7739,0.76744,0.76768,0.76631,0.76111,0.7594,0.75519,0.75229,0.74917,0.74791,0.74356,0.74277,0.73815,0.73553,0.73324,0.7326,0.72863,0.72475,0.72273,0.72116,0.72105,0.71634,0.71428,0.71338,0.70718,0.70487,0.70435,0.69996,0.70167,0.69807,0.69408
16,1,0.99995,0.99993,0.99982,0.99962,0.99922,0.99855,0.99754,0.99668,0.99578,0.99415,0.99216,0.99082,0.98828,0.98638,0.98392,0.98121,0.97831,0.9754,0.9725,0.97072,0.96631,0.96295,0.95927,0.95678,0.95194,0.95002,0.94829,0.94348,0.94035,0.93448,0.9331,0.92877,0.92357,0.92189,0.91845,0.91288,0.90956,0.90755,0.90441,0.90219,0.89592,0.89357,0.88833,0.88661,0.88066,0.87979,0.87433,0.87121,0.8702,0.8663,0.86094,0.85679,0.85371,0.84949,0.84637,0.84509,0.8407,0.83996,0.8352,0.83111,0.8263,0.82559,0.82232,0.81896,0.81751,0.81303,0.81011,0.80951,0.80618,0.80098,0.7968,0.79419,0.79381,0.79002,0.78778,0.78566,0.78373,0.77834,0.77856,0.77097,0.77197,0.76515,0.76654,0.76056,0.76153,0.75799,0.75625,0.75357,0.74762,0.74866,0.74492,0.7436,0.74223,0.74117,0.73668,0.73272,0.73287,0.72756,0.72559,0.7244
17,1,1.0,0.99998,0.99988,0.99968,0.99944,0.99932,0.99852,0.99784,0.99687,0.99583,0.99514,0.99358,0.9926,0.99031,0.98847,0.9866,0.98462,0.98205,0.98039,0.97721,0.97556,0.97218,0.97044,0.96693,0.96438,0.96226,0.95871,0.95631,0.95179,0.94942,0.9472,0.94339,0.94145,0.93761,0.93494,0.93233,0.92785,0.9238,0.92094,0.91755,0.91371,0.91043,0.90823,0.90552,0.9022,0.89889,0.89427,0.89077,0.88865,0.88627,0.88381,0.87922,0.87647,0.87295,0.87109,0.8699,0.86367,0.85941,0.86011,0.85635,0.85288,0.84996,0.84748,0.84197,0.84078,0.83905,0.83491,0.8332,0.83208,0.82716,0.8246,0.82307,0.81718,0.81458,0.81349,0.81017,0.80602,0.80499,0.80349,0.80055,0.79707,0.79654,0.79412,0.78938,0.7878,0.78645,0.78191,0.77628,0.77628,0.77488,0.77227,0.77141,0.76914,0.76697,0.76297,0.76284,0.7586,0.75664,0.75699,0.75346
18,1,0.99999,1.0,0.99996,0.99983,0.99976,0.99941,0.99899,0.99888,0.99813,0.99709,0.9964,0.99578,0.99461,0.99346,0.99222,0.99041,0.98834,0.98796,0.98612,0.98356,0.98168,0.97883,0.97723,0.97531,0.97389,0.97006,0.96789,0.96548,0.96321,0.96154,0.95921,0.95474,0.9523,0.95147,0.94799,0.94466,0.942,0.93847,0.93642,0.93254,0.93078,0.92831,0.92241,0.92153,0.91844,0.91628,0.91317,0.90945,0.9078,0.90377,0.90149,0.89838,0.89667,0.89486,0.8898,0.88828,0.88511,0.88086,0.87836,0.8757,0.87239,0.87071,0.86842,0.8649,0.86083,0.85958,0.85648,0.85429,0.8511,0.8488,0.84687,0.84557,0.84114,0.83908,0.83664,0.83342,0.83117,0.82931,0.82498,0.825,0.82084,0.81911,0.81772,0.81509,0.81194,0.81106,0.80737,0.80487,0.80217,0.80023,0.79721,0.79603,0.79357,0.7905,0.7884,0.7846,0.78525,0.78487,0.78163,0.7798
19,1,1.0,0.99998,0.99995,0.99996,0.9998,0.99968,0.99957,0.99923,0.99875,0.99853,0.99739,0.9972,0.99628,0.99534,0.99461,0.9934,0.99199,0.99013,0.98921,0.9877,0.98652,0.98498,0.98316,0.98148,0.97921,0.9763,0.97598,0.97331,0.97187,0.96834,0.96659,0.96541,0.96254,0.96029,0.95722,0.95454,0.95312,0.95107,0.94754,0.94592,0.94289,0.93913,0.93906,0.93502,0.93235,0.93117,0.92756,0.92563,0.92356,0.91993,0.91763,0.91382,0.91153,0.90975,0.90858,0.90576,0.90301,0.90054,0.89641,0.89479,0.89146,0.88831,0.88481,0.88706,0.88271,0.87925,0.87474,0.87532,0.87096,0.87076,0.8678,0.86463,0.86256,0.85876,0.85763,0.85389,0.85349,0.85091,0.84958,0.84706,0.84323,0.83972,0.83924,0.83837,0.83422,0.83372,0.82939,0.82849,0.82424,0.82118,0.81921,0.81865,0.81442,0.81496,0.81116,0.80817,0.80745,0.80661,0.80364,0.80301
